condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
22961639010497,121,100,14,96.39528384,96.39528384,320.1105781,145.0311596,1893.292623,37.91666667,1893.292623,4,7.430434022
22961641010497,128,100,8,32.79453928,30.56792546,630.4954839,,28.36363059,22.54545455,28.36363059,3,3.088133587
22961643010497,120,100,29,159.391036,123.1196853,579.9607959,7800.221491,3810.269014,61.43137255,3810.269014,4,7.098538302
22961648010497,116,100,102,345.2344759,284.7387236,487.5404058,61180.1286,15235.90978,153.5384615,15235.90978,4,11.39431113
22961664010497,144,100,20,70.72820151,40.7286774,151.76607,852.4692439,2837.43322,55.16666667,2837.43322,3,9.24368772
22961665010497,144,100,50,69.76254545,61.58925079,37.4883592,16223.7224,3237.319509,133.3333333,3237.319509,3,18.47137583
22961667010497,134,100,70,189.4521071,164.8049469,64.82874913,46938.44225,8955.001894,146.9090909,8955.001894,3,23.14739916
22961682010497,55,100,80,308.8523261,218.5698312,804.5234407,24711.76784,8598.541865,71.40740741,8598.541865,5,8.389621907
22961684010497,122,100,1,37.24520917,0,12.15941628,,1484.637065,,1484.637065,4,23.69818837
22961687010497,79,100,14,59.01968471,59.01968471,384.0697586,,330.2306417,32.5862069,330.2306417,5,5.307985016
22961688010497,92,100,55,231.6604728,210.3180103,337.2988363,21825.14952,7702.084365,88.52380952,7702.084365,5,11.2216017
22961712010497,136,100,50,194.9320845,193.5740886,127.6564198,37412.19334,8149.912938,115.8421053,8149.912938,3,16.73233824
22961715010497,96,100,18,38.11495737,38.11495737,128.246204,193.9833455,572.621035,42.85714286,572.621035,4,7.381791283
22961716010497,96,100,100,77.30753702,77.30753702,39.68764075,10727.20906,2497.508686,103.7142857,2497.508686,4,18.8981625
22961717010497,97,100,40,231.6426026,218.4888112,374.100308,25928.95779,7355.513913,89.39393939,7355.513913,4,10.65495174
22961718010497,142,100,32,119.4622745,119.4622745,121.5941628,13770.64332,3853.597221,85.61111111,3853.597221,3,13.42132299
22961719010497,142,100,3,18.59671528,18.59671528,1.010110356,,807.3498945,,807.3498945,3,58.09918107
22961721010497,121,100,17,108.2772829,90.66458503,508.0144086,335.7894,2459.501101,43.45,2459.501101,4,6.25125135
22961730010497,130,100,27,139.0606955,115.154625,318.9675669,7948.767414,3520.945321,68.76,3520.945321,3,8.940570613
22961736010497,116,100,35,44.57150635,44.57150635,85.10427986,3485.998339,1393.277849,86,1393.277849,4,9.799169215
22961740010497,132,100,56,346.4551704,346.4551704,146.8850137,75046.03151,15222.27648,140.56,15222.27648,3,20.79558209
22961741010497,130,100,17,112.5091823,78.5076113,1106.145409,75.29227918,772.3322999,39.29166667,772.3322999,3,4.318413009
22961742010497,115,100,27,141.9919405,105.602923,646.4033644,6319.165411,2925.024604,57.125,2925.024604,4,6.346237851
22961745010497,98,100,90,211.6873127,179.5154777,100.1100936,43474.85312,8744.549723,134.0588235,8744.549723,4,19.68995769
22961746010497,124,100,17,79.28776539,65.24415227,422.7928008,68.97850361,1016.116286,40.52727273,1016.116286,4,5.863752067
22961747010497,143,100,70,388.3586753,287.7405331,171.1639959,70987.66039,16884.90639,136.8076923,16884.90639,3,20.39607494
22961748010497,125,100,20,129.5997573,95.70106406,485.9424302,3172.188123,2331.722789,54.27659574,2331.722789,3,6.992717531
22961750010497,125,100,45,58.17798324,58.17798324,85.11591398,6387.433651,1820.182955,83.25,1820.182955,3,11.19464303
22961759010497,101,100,22,23.68541732,19.93006838,192.2652186,148.0768082,152.8622483,40.4,152.8622483,4,4.752547426
22961763010497,139,100,35,235.1360342,205.48351,203.6606997,38472.47066,9285.536062,114.3888889,9285.536062,3,14.54930609
22961764010497,102,100,15,97.60352043,43.55379026,775.4854854,82.14782654,1206.644652,33.38095238,1206.644652,4,4.803770007
22961774010497,124,100,32,197.4346943,183.839616,279.6665745,16205.32735,5410.546463,77.17857143,5410.546463,4,11.37699995
22961781010497,135,100,22,185.6582801,185.6582801,519.5979355,5789.880356,3978.099971,58.70149254,3978.099971,3,8.093935793
22961792010497,98,100,9,68.63485247,68.22111862,464.2737877,,2325.29733,13,2325.29733,4,5.206208679
22961797010497,138,100,23,191.8790351,163.4874018,357.6175609,3523.214778,5329.880712,59.52941176,5329.880712,3,9.918377789
22961798010497,52,100,70,290.4523424,150.2427683,1588.396691,6693.543175,5161.543007,57.97727273,5161.543007,5,5.790209222
22961802010497,95,100,22,137.4682493,108.6287709,622.3784139,1202.197024,1734.716817,44.47916667,1734.716817,4,6.363707975
22961808010497,129,100,82,237.2507314,232.6012853,165.256595,52787.32473,10144.33177,159,10144.33177,3,16.22410251
22961810010497,134,100,25,139.2345485,76.90347791,373.5555193,6139.388476,3047.503899,58.31707317,3047.503899,3,8.266700977
22961813010497,97,100,52,173.4940266,156.6918119,476.3055818,16089.68738,4951.98954,89.3,4951.98954,4,8.172138714
22961817010497,132,100,40,223.4535039,144.0223971,308.1843601,21264.45324,6898.255103,88.42105263,6898.255103,3,11.52987473
22961818010497,111,100,40,224.6951673,102.8446149,101.2831015,26606.0215,6975.637557,107.4117647,6975.637557,4,20.16808541
22961820010497,129,100,90,362.5346892,352.1982513,216.60382,85022.53349,17071.9757,163.7727273,17071.9757,3,17.51773815
22961827010497,124,100,5,1.626609292,0,6.086561608,,18.65610867,30,18.65610867,4,6.999901279
22961828010497,124,100,45,88.3096278,43.94030007,42.58835209,10968.40744,3306.037574,124,3306.037574,4,19.49821752
22961830010497,83,100,60,61.17985897,52.11318109,148.6370654,5092.200075,1443.388774,80.33333333,1443.388774,5,8.68714312
22961871010497,112,100,43,158.6080329,99.21798416,366.8826514,13144.0867,4116.548348,68.23809524,4116.548348,4,8.902978065
22961876010497,77,100,52,120.1361516,112.6693522,164.754931,10934.11119,3368.987746,64.60869565,3368.987746,5,11.56255866
22961877010497,77,100,29,21.71804754,21.71804754,273.0923463,,117.3037809,33.125,117.3037809,5,3.818492371
22961893010497,103,100,31,218.0472271,147.9174376,570.6241232,11750.8128,4811.51865,65.48148148,4811.51865,4,8.370213238
22961902010497,128,100,58,205.6137607,79.35763346,290.5892469,28100.81448,7108.880271,97.55,7108.880271,3,11.38997105
22961905010497,55,100,90,109.2240751,57.96444673,193.4690344,6124.148523,2622.475107,63.10526316,2622.475107,5,10.17395372
22961916010497,88,100,67,129.1657709,126.0647905,181.2849177,12231.42302,3934.32731,83.26315789,3934.32731,5,11.4295514
22961926010497,131,100,25,183.5640951,128.9698329,383.4451689,12096.06168,4737.928894,66.91666667,4737.928894,3,9.36868281
22961934010497,135,100,37,159.3390352,154.0937097,128.6664142,20840.77904,6056.64364,100.0555556,6056.64364,3,15.06831861
22961950010497,106,100,78,127.0225697,113.419924,73.45395333,23813.30625,5407.43393,123.125,5407.43393,4,17.8061145
22962012010497,97,100,300,514.3350886,284.9850571,258.3641414,157158.5924,28011.93385,190.4594595,28011.93385,4,19.10483362
22962020010497,107,100,85,326.5018661,211.6842332,279.485455,59276.15742,12789.94237,146.7333333,12789.94237,4,14.63522927
22962055010497,114,100,85,280.5465009,241.621109,257.5280962,27089.97243,9445.895566,115.5,9445.895566,4,14.1327417
22962056010497,106,100,80,85.66340528,79.75506075,30.28454025,13728.56365,3001.33102,111.8888889,3001.33102,4,22.77316939
22962066010497,125,100,40,247.7482052,159.8919828,448.2745164,26546.95528,7756.508362,88.45833333,7756.508362,3,10.06629225
22962086010497,121,100,45,143.6531509,59.98588553,85.10427986,23337.03971,5470.810397,106.7777778,5470.810397,4,17.59212002
22962094010497,124,100,27,135.9176588,135.9176588,173.262159,4567.300483,4733.954815,75.7826087,4733.954815,4,11.99284949
22962096010497,115,100,77,343.060542,124.9818749,277.9489768,36550.41603,12783.65575,105.5,12783.65575,4,15.0431625
22962097010497,115,100,68,169.919174,141.8717775,300.6089937,23048.52903,5932.39499,117.9,5932.39499,4,10.18020471
22962104010497,69,100,165,494.3233845,205.8351624,490.0337364,57867.75409,16447.62129,98.56666667,16447.62129,5,13.59968627
22962113010497,135,100,55,177.7946196,53.37585805,125.874612,28923.76998,7027.496828,115.8571429,7027.496828,3,16.09261186
22962138010497,127,100,12,71.68963505,26.06871716,945.0162867,,371.5499234,28.72727273,371.5499234,3,3.729450438
