"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"533c6399-9c85-4627-8438-71a24ade4dea","1201041060103900673680001",2014,16.00,0.00,121.64,121.64,0.99,0.99
"3cef424d-d654-4653-a5c9-1d62c632cb92","1201041060103900704940001",2014,0.00,0.00,0.00,0.00,,
"65d32fa1-62e4-4ee4-85eb-faa3d8614bdb","1201041060103900747290001",2014,16.00,0.00,214.32,214.32,0.99,0.99
"af6550fc-f28a-4e3d-9b2c-3feb6f3ce49c","1201041060103900771380001",2014,16.00,0.00,175.72,198.62,0.88,0.99
"0985a1ce-832e-4e38-a2f3-623052cb1c17","1201041060103900968750001",2014,22.00,0.00,49.08,96.69,0.50,0.99
"4a44325b-34e9-49d9-b601-defa69d8c909","1201041060104100523650001",2014,16.00,19.00,379.03,90.62,0.80,0.19
"694b16b8-91fd-4724-b5bd-9cc4a95064d1","1201041060104100546750001",2014,16.00,22.00,103.15,20.16,0.64,0.12
"3cfc96e1-6305-4294-a69c-cf39e97462f2","1201041060104100554190002",2014,16.00,0.00,187.65,187.65,1.00,1.00
"1c0e144f-bd98-4f1d-a863-2b3f8e4f3bc3","1201041060104100600340001",2014,22.00,0.00,91.54,141.90,0.64,1.00
"c394587a-d7de-4a6f-94df-53db00ee5a3b","1201041060104100616750001",2014,16.00,0.00,144.09,144.09,1.00,1.00
"40187560-1b80-46e3-8cda-a89081d0b39b","1201041060104100666120001",2014,6.00,19.00,38.26,36.91,0.45,0.43
"e425bad2-0057-4d21-9bc1-acdcbabb135a","1201041060104100666120002",2014,19.00,19.00,242.50,242.50,0.78,0.78
"4635e4b4-02b4-4fd4-b504-0e0a6bc901d9","1201041060104100729850001",2014,16.00,0.00,104.94,117.90,0.89,1.00
"9bc6f120-cdd5-4a4b-859d-50fb1c347407","1201041060104100765860001",2014,16.00,16.00,73.22,73.22,0.97,0.97
"7c52526f-56b7-41e4-b11a-6ce9bc70ba44","1201041060104100862390001",2014,16.00,0.00,148.21,158.74,0.93,1.00
