parcel,year,cumulative_mbf,npv_total,aboveground_total_live,aboveground_merch_live,belowground_live,standing_dead,forest_down_dead_wood,forest_floor,forest_shrub_herb,total_stand_carbon,total_removed_carbon,carbon_released_from_fire,products,landfill,energy,emissions,merch_carbon_stored,merch_carbon_removed,tcuft,mcuft,rtcuft,rmcuft,bdft,rbdft,nfv_total,total_undiscounted_cost,total_discounted_cost,discounted_revenue,undiscounted_revenue,rx
3,2064,34.56819009,3869.89138,9.640385187,5.825330392,2.063596099,0.168734357,3.126467729,4.988297588,0.297680451,29.54544968,0,0,21.73629067,9.21246708,17.82544359,15.67703162,30.94875736,64.45123282,1220.406337,982.5606528,0,0,3586.547567,0,13726.72853,14254.01047,4916.560737,8801.614061,28320.27432,BAU
3,2069,35.61946935,3889.435877,12.52209365,5.930509793,2.791079753,0.175477701,2.59674172,4.987927204,0.214783305,31.21677253,1.687826575,0.293623365,19.8510291,10.5255569,18.77149854,16.88341222,30.37658613,66.03149733,1803.276136,1248.754007,254.7051904,238.5678577,4858.366711,1051.279224,14035.85944,14797.79918,4948.995464,8848.33972,29195.3135,BAU
3,2074,36.7454294,3906.502961,20.11131388,12.81219494,4.160476235,0.14518309,2.184422389,5.06001019,0.248063912,38.78446402,1.794830141,0.305866815,18.76580826,11.50653569,19.512352,17.92855274,30.27234432,67.71324885,2799.41935,2376.558741,270.7777533,253.9022938,4613.002794,1125.960006,14380.59456,15366.46282,4975.554813,8887.577433,30132.44103,BAU
3,2079,36.7454294,3899.962102,29.71658958,20.65395438,6.303889721,0.213380773,1.98196935,5.132595348,0.226910219,49.13271181,0,0,16.75949879,12.34236378,19.94655685,18.66482809,29.10186238,67.7132476,3758.395383,3371.818556,0,0,4330.071166,0,14209.07863,15555.02101,4980.310723,8882.015373,30172.0668,BAU
3,2084,37.94685178,3911.60411,38.23349502,26.92967318,8.189475207,0.225511223,2.075532988,5.373831539,0.22529375,59.31712551,1.893294173,0.277399387,16.48730602,12.9675722,20.50555863,19.535643,29.4548781,69.49607959,5177.25136,4648.836568,288.7020291,272.0893251,7369.50919,1201.422438,14592.22664,16144.08309,4997.041211,8907.062046,31162.05143,BAU
3,2089,38.56528285,3914.272501,47.45406058,35.32878061,10.10678643,1.25945824,2.182264801,5.467548027,0.233712466,71.23392402,1.010762522,0.172442328,15.60992139,13.59652161,20.9485866,20.28541386,29.20644264,70.44044375,6284.00272,5853.772019,152.7466549,142.7459197,21371.05918,618.4311131,14703.03656,16539.34218,5005.091172,8914.984381,31683.81791,BAU
3,2094,62.72853366,4116.237502,7.096181121,5.317559495,1.377792236,0.154463851,4.608990755,7.324955432,0.950550202,36.29010691,42.3059923,5.247551037,42.38603559,14.15868811,26.97128393,26.32148469,56.54472365,109.8374923,7460.921629,6953.870754,6475.731216,6030.092266,28106.49353,24163.25062,25586.54436,24904.5168,5171.630694,9281.196242,50948.03505,BAU
3,2099,62.72853366,4113.772371,9.69743152,6.243648367,1.695209023,0.167183334,3.269053752,4.606463127,0.855151352,32.19455026,0,0,34.96245914,17.63555044,28.74000261,28.49947986,52.59801029,109.8374925,1149.184899,1074.027128,0,0,4254.791575,0,25415.03102,25088.76505,5173.158992,9278.342026,50973.35179,BAU
3,2104,62.72853366,4111.840446,11.33294434,7.492137722,2.331059867,0.213227909,2.401833943,4.703142902,0.344863597,30.92612451,0,0,29.99581467,19.88531272,29.87719384,30.07917036,49.88112773,109.8374923,1473.832892,1273.907808,0,0,5109.663579,0,25243.51764,25272.61532,5174.320317,9276.007467,50997.33971,BAU
3,2109,63.63152596,4113.984733,13.93973153,7.563955624,3.012773848,0.21317197,2.027682147,4.687552804,0.216537196,32.25087505,1.497845986,0.224735102,27.61590484,21.37340267,30.80058935,31.4536343,48.98930787,111.2435308,1992.225555,1505.687105,225.1139538,211.8070872,6267.08337,902.992207,25482.07759,25767.99315,5178.218179,9280.836798,51748.48678,BAU
4,2014,8.932037228,3838.265067,18.29982009,12.92185996,4.457438419,0.642236658,19.16200989,9.333022783,0.568698555,57.35132297,16.65723095,4.123191042,10.81252379,0,2.465612663,2.129061511,10.81252379,15.40719804,4826.114497,4405.811125,2551.177359,2371.464046,16130.8938,8969.071018,4146.201562,2957.890686,2928.131268,6790.462236,7129.99106,BAU
4,2019,14.96223016,5834.618144,11.36657264,7.352192345,2.683981852,0.712684872,13.63136302,8.93896347,0.818129421,45.01129972,10.57841838,4.511088089,15.33279931,1.200894851,4.660114124,4.193193863,16.533694,25.38700212,2929.713658,2698.313423,1629.313537,1539.068003,10119.19804,6030.193039,6895.669855,4975.092777,4485.995503,10356.26665,11920.41544,BAU
4,2024,14.96223016,5738.146636,15.43677261,10.3942353,3.625387312,0.903874448,11.8231751,8.423113371,0.545297031,46.3491285,0,0,12.06921083,2.695338771,5.516859847,5.105592488,14.76454953,25.38700226,1836.439119,1637.618632,0,0,5916.834472,0,6722.83587,5167.308458,4589.50034,10372.68399,11971.24443,BAU
4,2029,16.57611476,6023.338287,17.26957031,10.90179804,4.089185512,0.854698958,10.21667011,8.511348954,0.314438606,46.66626325,3.067324046,0.85041394,12.13719188,3.598294937,6.420148949,6.113376781,15.73548677,28.26901248,2531.063035,2120.077106,432.3479122,405.5137557,8149.011544,1613.884584,7358.976339,5830.787218,4894.176631,10971.37314,13314.9001,BAU
4,2034,21.49180601,6812.263518,16.09330971,9.779050753,3.605122789,0.504280141,8.41091128,8.583860367,0.355268765,44.23681452,8.51797307,2.182164674,16.28305043,4.38075515,7.906263408,7.765001783,20.66380561,36.33507091,3170.064672,2722.883752,1247.000632,1186.319712,8512.050342,4930.410918,9617.378291,7489.903568,5504.59822,12372.36049,17274.15383,BAU
4,2039,22.80663376,6937.601336,22.26343878,15.24567281,4.950730433,0.612158391,7.295616529,8.28734329,0.352531294,49.81696924,2.260797452,0.531538038,15.38644935,5.520337172,8.765832257,8.817751758,20.90678658,38.49037115,3015.123629,2716.569525,336.1429269,321.3889782,4472.761358,1317.834932,10074.77897,8106.217931,5674.0531,12666.30769,18393.94394,BAU
4,2044,23.87929497,7019.413687,29.79185823,20.93288035,6.698584437,0.320827163,6.495845241,8.348971916,0.276554562,57.31442041,2.02829349,0.471711795,14.67584347,6.452696513,9.507687309,9.743473388,21.1285399,40.37970067,3923.966085,3538.422664,263.7758027,250.1826144,8333.745735,1072.661191,10452.51794,8606.178464,5778.393594,12847.51142,19311.08569,BAU
4,2049,24.47026908,7042.018119,39.35193367,28.53930259,8.717308646,0.695303911,5.986184768,8.383844695,0.226986144,68.08824605,1.079178925,0.199217817,13.63192608,7.240576585,10.03997285,10.48751722,20.87250256,41.39999262,5070.85176,4623.972431,147.2438401,140.5749239,17515.85538,590.9740968,10583.48708,8967.21022,5833.944256,12919.09837,19838.02905,BAU
4,2054,38.88654,7964.715826,22.89310565,16.89326004,5.011280442,0.509779092,6.528988081,9.384739144,0.584512517,55.00129571,23.34559908,3.125378064,28.22029998,7.875389443,13.23024575,13.98556431,36.09568941,63.31149956,6391.912613,5952.641577,3507.861898,3296.19772,24225.04914,14435.22,17596.55046,13451.36701,6460.534206,14461.84116,31369.82734,BAU
4,2059,48.95376071,8469.331787,11.15919874,7.634351093,2.338079694,0.199358839,5.822040293,8.531805903,0.822105586,41.21468613,16.01088699,2.565596436,34.82069689,10.01775319,16.18357195,17.3640283,44.83845023,78.38605015,3726.556344,3472.017116,2405.910631,2267.961978,12755.63962,10067.21222,22487.42881,16593.15232,6801.985757,15301.30049,39432.88172,BAU
