StandID,StandCN
1985,1961
1988,141644
1989,1961
199,8938
1991,141632
1995,1961
1997,1981
1998,1961
1999,130972
2,30241
20,1341
200,145397
2000,150319
2002,136139
2003,9762
2008,141632
201,79192
2010,83378
2012,269
2014,26581
2017,268
2019,150319
202,8939
2022,1961
2023,83378
2024,26581
2025,26581
2026,141644
2027,1961
2028,16622
2030,141632
2031,1961
2032,141632
2033,1961
2034,1961
2036,268
2037,1992
204,622
2040,141632
2041,83378
2043,83378
2047,26581
205,401
2050,9762
2051,26581
2052,1961
2053,83378
2056,26581
2059,150319
2061,1961
2064,9762
2067,1961
207,79192
2070,1961
2071,83378
2073,150319
2074,1961
2075,268
2077,9762
2082,1961
2083,141644
2084,268
2086,268
209,13960
2097,293
2098,9762
21,30241
210,137614
2100,1961
2104,134063
2106,134063
2108,83378
2109,141632
211,21009
2110,132398
2111,268
2114,257
2115,149969
2116,26344
2117,1961
212,421
2121,88160
2123,1961
2125,26581
213,645
2130,1961
2131,9762
2133,9762
2134,1961
2135,83371
2136,208
2139,130972
214,21133
2140,1961
2141,1961
2142,241
2143,268
2148,83378
2149,9762
215,133760
2150,150319
2151,231
2152,9762
2158,145960
2159,149969
2161,231
2162,83378
2167,9762
2168,150319
2169,134063
217,145344
2170,141539
2171,208
2172,26344
2176,268
2178,1961
2179,83378
218,84124
2180,1961
2184,1961
2187,1961
2188,150319
219,145514
2192,241
2193,9762
2194,141539
2195,1961
2197,1961
22,698
220,401
2200,1961
2201,1961
2206,9762
221,141199
2210,141632
2211,150319
2212,1961
2213,26344
2215,83378
2218,1961
222,629
2222,83378
2223,1961
2226,1961
2227,9762
2228,150319
223,137673
2233,141644
2234,1961
2236,83378
2237,82133
2238,141632
2239,150319
224,24896
2241,83378
2243,141539
2247,9762
2248,1968
225,401
2254,1961
2255,1961
2256,149613
2259,145852
2260,130972
2261,268
2266,1961
2267,26344
227,79192
2270,9762
2271,1961
2272,83378
2273,83378
228,14277
2281,146188
2282,146188
2283,131426
2286,141539
2287,236
2288,132398
2289,137805
229,79192
2291,149969
2292,141539
2294,150156
2295,9762
2296,82133
2297,150319
23,84694
230,15513
2303,141632
2304,83378
2305,141539
231,145397
2310,1968
2311,1961
2312,83378
2315,150319
2316,149969
2317,83378
232,14277
2320,1961
2323,268
2324,1961
2325,1961
2326,150319
2329,1961
233,87170
2332,150319
2333,1961
2334,130972
2336,150319
2337,1981
234,8939
2340,149969
2344,150319
2347,141539
2349,141539
235,137673
2352,208
2353,150319
2357,1981
2358,150319
236,25676
2362,150319
2365,141644
2369,145960
237,84118
2373,150319
2374,9
2376,141335
2380,1831
2382,30307
2383,80946
2384,107335
2385,25795
2387,25795
239,80739
2393,30557
2394,21522
2395,30186
24,84694
240,145386
2401,30185
2402,42
2403,1831
2404,25795
2405,21522
2406,25795
2409,1831
241,24867
2410,25795
2411,30141
2413,80946
2419,145709
2421,30482
2423,30557
2426,127691
2427,42
2429,83147
243,145397
2433,1335
2435,30477
2436,141335
2438,83147
244,25676
2440,25795
2446,1335
2448,25795
2449,25795
245,14277
2450,25795
2454,135223
2455,87307
2457,30258
246,401
2462,84413
2464,82093
2467,25795
2468,42
2469,78864
2471,84107
2475,25795
248,401
2483,21522
2486,30477
2487,25795
2489,30292
249,135130
2491,30557
2493,30188
2495,141335
2496,82093
2498,145709
25,84128
250,645
2505,25795
2508,30141
251,84118
2510,21484
2512,141335
2513,25824
2514,127691
2515,84107
2516,25795
252,25676
2520,25795
2521,30307
2523,30557
2524,30557
2525,80946
2530,83147
2531,141335
2532,25795
2533,145709
2536,21522
2538,25795
254,84118
2540,30188
2541,1335
2544,141335
2545,141335
2546,21484
2548,82093
2550,145253
2552,127691
2555,25795
2556,141335
2560,25795
2563,141335
2566,135223
2567,21484
2568,145198
257,25676
2570,81657
2574,135223
2575,30188
2578,21522
258,145386
2585,83147
2589,83147
259,84118
2590,25795
2592,107172
2593,25795
2595,21484
2596,135223
260,145386
2600,141335
2601,92765
2603,30308
2605,25795
2606,25795
2608,83956
261,84118
2610,83574
2611,30141
2615,42
262,25676
2620,30188
2622,145709
2625,80951
2629,1335
263,25676
2632,1831
2637,25795
264,84118
2641,141335
2648,135223
2649,25795
265,671
2650,1348
2651,25795
2653,25795
2655,84107
2657,23
2658,25795
266,84118
