"standid","conv_yr"
"10979",2014
"10980",2014
"10981",2014
"10982",2014
"10983",2014
"10985",2014
"10986",2014
"10987",2014
"1099",2024
"10998",2014
"11",2019
"110",2014
"1100",2029
"1101",2029
"11012",2014
"11014",2014
"1102",2014
"11023",2014
"1103",2014
"1104",2014
"11045",2014
"1105",2029
"1106",2014
"1107",2014
"1108",2014
"1109",2029
"111",2014
"1110",2014
"1111",2014
"1112",2029
"1113",2014
"1114",2014
"1115",2019
"1116",2014
"1117",2014
"1118",2014
"1119",2014
"112",2014
"1120",2014
"1121",2014
"1122",2014
"1123",2029
"1124",2029
"1125",2029
"1126",2014
"1127",2014
"1128",2014
"1129",2029
"113",2019
"1130",2024
"1131",2014
"1132",2014
"1133",2014
"1134",2014
"1135",2014
"1136",2024
"1137",2014
"1138",2014
"1139",2024
"114",2019
"1140",2014
"1141",2019
"1142",2014
"1143",2014
"1144",2014
"1145",2014
"1146",2014
"1147",2014
"1148",2014
"1149",2029
"115",2014
"1150",2014
"1151",2014
"1152",2019
"1153",2014
"1154",2019
"1155",2014
"1156",2014
"1158",2014
"1159",2014
"116",2019
"1160",2014
"1161",2024
"1162",2014
"1163",2014
"1164",2014
"1165",2014
"1166",2014
"1167",2014
"1168",2014
"117",2014
"1170",2019
"1171",2014
"1172",2014
"1173",2014
"1174",2019
"1175",2029
"1176",2024
"1177",2014
"1178",2014
"1179",2014
"118",2014
"1180",2014
"1181",2029
"1182",2014
"1183",2014
"1184",2014
"1185",2014
"1186",2029
"1187",2014
"1188",2014
"1189",2014
"119",2014
"1190",2014
"1191",2014
"1192",2019
"1193",2014
"1194",2014
"1195",2014
"1196",2014
"1197",2014
"1198",2014
"1199",2034
"12",2014
"120",2014
"1200",2014
"1201",2014
"1202",2014
"1203",2014
"1204",2024
"1205",2014
"1206",2014
"1207",2034
"1208",2014
"1209",2014
"1210",2014
"1211",2014
"1212",2014
"1213",2014
"1214",2014
"1215",2014
"1216",2014
"1217",2014
"1218",2014
"1219",2014
"122",2014
"1220",2014
"1221",2014
"1222",2014
"1223",2014
"1224",2014
"1225",2014
"1226",2014
"1227",2014
"1228",2014
"1229",2014
"123",2019
"1230",2014
"1231",2014
"1232",2014
"1233",2014
"1234",2014
"1235",2014
"1236",2014
"1237",2014
"1238",2014
"1239",2019
"124",2014
"1240",2014
"1241",2014
"1242",2014
"1243",2014
"1245",2029
"1246",2014
"1247",2014
"1248",2014
"1249",2014
"125",2014
"1250",2014
"1251",2014
"1252",2014
"1253",2014
"1254",2014
"1255",2014
"1256",2014
"1257",2014
"1258",2014
"1259",2029
"126",2014
"1260",2014
"1261",2014
"1262",2014
"1263",2034
"1264",2014
"1265",2014
"1266",2014
"1267",2014
"1268",2014
